x,y,z,Bx,By,Bz
-1.5,-1.5,-1.5,-21.22,0.922,-23.598000000000003
-1.5,-1.5,-1.4,-19.715999999999998,0.89,-23.838
-1.5,-1.5,-1.3,-18.114,0.875,-23.866999999999997
-1.5,-1.5,-1.2,-16.578,0.897,-23.846
-1.5,-1.5,-1.1,-15.040999999999999,0.92,-23.94
-1.5,-1.5,-1.0,-13.513,0.825,-23.934
-1.5,-1.5,-0.9,-11.960999999999999,0.8590000000000001,-23.987
-1.5,-1.5,-0.8,-10.376,0.777,-24.039
-1.5,-1.5,-0.7,-8.801,0.765,-24.061999999999998
-1.5,-1.5,-0.6,-7.2,0.8029999999999999,-24.125999999999998
-1.5,-1.5,-0.5,-5.624,0.779,-24.113000000000003
-1.5,-1.5,-0.4,-4.013,0.7709999999999999,-24.104
-1.5,-1.5,-0.3,-2.423,0.778,-24.069000000000003
-1.5,-1.5,-0.2,-0.84,0.746,-24.144000000000002
-1.5,-1.5,-0.1,0.758,0.746,-24.131999999999998
-1.5,-1.5,0.0,2.3480000000000003,0.7440000000000001,-24.149
-1.5,-1.5,0.1,3.9,0.713,-24.168000000000003
-1.5,-1.5,0.2,5.542999999999999,0.736,-24.179000000000002
-1.5,-1.5,0.3,7.0920000000000005,0.711,-24.176
-1.5,-1.5,0.4,8.693,0.6759999999999999,-24.186999999999998
-1.5,-1.5,0.5,10.269,0.669,-24.166
-1.5,-1.5,0.6,11.798,0.618,-24.156999999999996
-1.5,-1.5,0.7,13.42,0.645,-24.143
-1.5,-1.5,0.8,14.952,0.637,-24.133000000000003
-1.5,-1.5,0.9,16.51,0.615,-24.122
-1.5,-1.5,1.0,18.116,0.596,-24.158
-1.5,-1.5,1.1,19.660999999999998,0.5579999999999999,-24.105999999999998
-1.5,-1.5,1.2,21.264,0.532,-24.031
-1.5,-1.5,1.3,22.761,0.562,-24.046999999999997
-1.5,-1.5,1.4,24.386,0.5660000000000001,-24.041
-1.5,-1.5,1.5,25.908,0.465,-23.993000000000002
-1.5,-1.4,-1.5,-21.232,0.943,-23.616
-1.5,-1.4,-1.4,-19.741,0.889,-23.758000000000003
-1.5,-1.4,-1.3,-18.185,0.91,-23.861
-1.5,-1.4,-1.2,-16.629,0.847,-23.908
-1.5,-1.4,-1.1,-15.001,0.848,-23.938000000000002
-1.5,-1.4,-1.0,-13.49,0.8640000000000001,-23.963
-1.5,-1.4,-0.9,-11.934000000000001,0.853,-24.01
-1.5,-1.4,-0.8,-10.325999999999999,0.818,-24.092
-1.5,-1.4,-0.7,-8.776,0.812,-24.084
-1.5,-1.4,-0.6,-7.206,0.7859999999999999,-24.108
-1.5,-1.4,-0.5,-5.541,0.8,-24.142
-1.5,-1.4,-0.4,-4.041,0.7829999999999999,-24.134
-1.5,-1.4,-0.3,-2.449,0.735,-24.151
-1.5,-1.4,-0.2,-0.855,0.684,-24.146
-1.5,-1.4,-0.1,0.792,0.7170000000000001,-24.155
-1.5,-1.4,0.0,2.299,0.7240000000000001,-24.155
-1.5,-1.4,0.1,3.944,0.725,-24.159000000000002
-1.5,-1.4,0.2,5.462999999999999,0.779,-24.171
-1.5,-1.4,0.3,7.079,0.653,-24.236
-1.5,-1.4,0.4,8.649,0.685,-24.206999999999997
-1.5,-1.4,0.5,10.27,0.682,-24.177
-1.5,-1.4,0.6,11.847999999999999,0.644,-24.223000000000003
-1.5,-1.4,0.7,13.395,0.677,-24.211
-1.5,-1.4,0.8,14.985999999999999,0.6509999999999999,-24.245
-1.5,-1.4,0.9,16.528,0.6459999999999999,-24.163
-1.5,-1.4,1.0,18.145,0.634,-24.15
-1.5,-1.4,1.1,19.687,0.626,-24.143
-1.5,-1.4,1.2,21.295,0.583,-24.112
-1.5,-1.4,1.3,22.81,0.575,-24.090999999999998
-1.5,-1.4,1.4,24.345,0.527,-24.049
-1.5,-1.4,1.5,25.825,0.515,-24.076999999999998
-1.5,-1.3,-1.5,-21.219,0.945,-23.674
-1.5,-1.3,-1.4,-19.727,0.904,-23.796999999999997
-1.5,-1.3,-1.3,-18.132,0.9059999999999999,-23.908
-1.5,-1.3,-1.2,-16.604,0.868,-23.912
